feature,importance
saharat bunrit,0.0016484068918866939
| to view,0.0016483145227272561
for firewall,0.0016414054123323153
firewall v 3.7,0.001635939530307555
services | aws,0.001617576651873647
: saharabu @scg.com,0.0016027927469159401
form for firewall,0.0015772597037431513
env : gcp,0.0015677320778155895
bunrit,0.001539959268985412
for : saharat,0.0015322407477709596
| to,0.0015266630082128826
env : |||,0.0014885671808293937
alb,0.0014615921153186204
bunrit email address,0.0014559757385865949
_desc: firewall,0.001446549862574112
: (086),0.0014396943255442255
firewall,0.0014090525020565264
768 - 1182,0.001404100810593417
environment : it,0.0014001936246626299
dxc,0.0013954256722039794
form for,0.0013923966765539556
request :,0.0013548582988481266
one services |,0.0013423429433975606
saharabu @scg.com service,0.0013408289937909955
saharabu @scg.com,0.001328681607427174
environment :,0.001326535655475504
gcp cloud platform,0.0012719924396469848
: ||| body,0.0012635667285166834
| gcp hub,0.0012591323698220977
related,0.00125105726287206
email :,0.001249264113550871
saharabu,0.001238877117839833
@scg.com state,0.0012203166435930189
: kaemmans,0.0012199027574901038
one services,0.0012049659908373001
bunrit email,0.0011987143782092428
dxc request form,0.0011969117802389931
saharat bunrit email,0.001180447518076311
kaemmans,0.00116992873031171
3.7,0.0011667983079790424
one services aws,0.001158224479537355
firewall request :,0.001157878503338801
aws cloud project,0.0011576798732484237
and,0.0011519206853600184
: saharat bunrit,0.0011500397191897694
: saharabu,0.001141535216471571
address : kaemmans,0.001132860760966428
1182 email,0.0011248426767216154
(086),0.0011241169315006413
- 1182,0.0011123632664346835
เข้า google,0.0011061056788642203
user,0.0010945144191228543
| on-prem,0.0010910920920354026
aws hub on-prem,0.0010900501781075352
hub | click,0.0010679554030757871
kaemmans @scg.com,0.0010644409501340433
the task,0.0010548995302118067
: it one,0.0010485310111034124
768,0.0010383935937521296
: pattaratorn,0.0010231342459524496
saharat,0.0010223288894566972
vipattanaporn email,0.001021395143338502
address : pattarav,0.0010198106179412387
: firewall,0.0010107641081932323
scg gcp,0.0010066595780420318
gcp project name,0.0010029057622397545
gcp hub on-prem,0.001002372339116542
@scg.com service request,0.0010016632857097769
| gcp,0.0009974097081930935
: kaemmans @scg.com,0.0009882540793340598
: firewall request,0.0009877857941637117
project name :,0.0009776597524340863
project name,0.0009773170065329444
google workspace,0.0009649581740120178
env : it,0.0009645859146725648
: it,0.0009528425349171691
: pattarav,0.0009475358750098496
short _desc: firewall,0.0009427574532053112
suwantawegoon business phone,0.0009401671845400076
phone : (086),0.0009378305687150237
user ||| detail,0.0009235011986954003
.xlsx,0.0009145335744067575
for firewall v,0.0009052695058346283
_desc: firewall request,0.0008998933992524831
lsp,0.0008958196805473067
@scg.com,0.000893058759617516
1182,0.0008790397167557037
เพิ่ม,0.0008461699442862739
dxc request,0.0008160863707268105
- 1182 email,0.0007995518229185043
(086) 768 -,0.0007966993153159671
click | here,0.000791479199351526
services aws,0.0007891594787998732
pattaratorn vipattanaporn,0.000787120805032938
opened by,0.0007867426897920836
url,0.0007831473418135039
: pattaratorn vipattanaporn,0.0007757710958289415
user description,0.0007755710765165501
suwantawegoon,0.0007741025847586767
for : pattaratorn,0.0007723852311151104
